what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495442254786
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495442341017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495442344938
executed,command,,,"org.lejos.nxt.ldt.LaunchNXTShortcut.run",1495442344963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495442344992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495442347146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495442394682
executed,command,,,"org.lejos.nxt.ldt.LaunchNXTShortcut.run",1495442394726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495442576892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495443191776
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495443193190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495443196440
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495443203731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495443209584
executed,command,,,"org.lejos.nxt.ldt.LaunchNXTShortcut.debug",1495443209629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495443209656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495443211332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495443252801
executed,command,,,"org.lejos.nxt.ldt.LaunchNXTShortcut.run",1495443252845
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1495443413057
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1495443413219
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1495443413246
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495443416275
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1495443417248
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1495443417301
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1495443418909
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1495443419705
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495443439827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495443440057
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495443444193
