what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495518729357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518733004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518761508
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495518764578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495518765771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518773602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518817368
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495518826885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518828624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518969881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518993480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495518998257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519022316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519026424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519037035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519037482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519042701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519044566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519049470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519052367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519069622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519075995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519098465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519098553
error,log,,,"Unhandled event loop exception",1495519098619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519102980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519122154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495519124682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519124926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519136407
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495519163586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519169797
executed,command,,,"org.lejos.nxt.ldt.LaunchNXTShortcut.run",1495519169826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519176288
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1495519176673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519188576
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1495519188655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519234198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519671641
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495519674296
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495519677434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519684832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519692166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519696488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519702830
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495519703016
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495519703096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519717278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519717362
error,log,,,"Unhandled event loop exception",1495519717428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519746188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519749447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519764606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519772957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519820710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519830869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519859857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519860028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519870012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519874909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495519890051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520021183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520041369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520091184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520093690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520093972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520095033
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495520095194
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495520095194
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495520099632
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495520100844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495520113692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495520114844
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495520116046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520119883
executed,command,,,"org.lejos.nxt.ldt.LaunchNXTShortcut.run",1495520119960
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495520126719
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495520126814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520135527
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1495520136065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520146927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495520196224
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495520200156
