what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1495608304881
started,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1495608304882
os,sysinfo,,,"macosx",1495608304884
arch,sysinfo,,,"x86_64",1495608304884
ws,sysinfo,,,"cocoa",1495608304884
locale,sysinfo,,,"en_US",1495608304885
processors,sysinfo,,,"2",1495608304885
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1495608304885
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1495608304885
java.specification.name,sysinfo,,,"Java Platform API Specification",1495608304885
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1495608304885
java.specification.version,sysinfo,,,"1.6",1495608304885
java.vendor,sysinfo,,,"Apple Inc.",1495608304885
java.version,sysinfo,,,"1.6.0_65",1495608304885
java.vm.info,sysinfo,,,"mixed mode",1495608304885
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1495608304885
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1495608304885
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1495608304885
java.vm.specification.version,sysinfo,,,"1.0",1495608304885
java.vm.vendor,sysinfo,,,"Apple Inc.",1495608304885
java.vm.version,sysinfo,,,"20.65-b04-468",1495608304885
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1495608304895
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1495608305055
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1495608305141
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1495608305318
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1495608305321
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1495608312653
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495608319841
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1495608319842
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1495608326833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608328706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608328782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608331751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1495608331792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608333489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608349434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608354440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608357205
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1495608357244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608378229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608378352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608383726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608383786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608389194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1495608389228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608391226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608393828
error,log,,,"Unhandled event loop exception",1495608396701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608415086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608415145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608420822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1495608420866
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608425649
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608426936
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608427030
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608427578
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608427579
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1495608443397
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608445857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608574142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608609987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608617966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608644116
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1495608652565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608656770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608727797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608755430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608766693
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1495608799809
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495608800905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608801574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608805614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608806342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608820662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608835406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495608842028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495608916386
