what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496127958303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496127965731
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496127967964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496127976542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496127978106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128008605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128015426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128020883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128067665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128071744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128075136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128097222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128138586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128163700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128173687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128175483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128198282
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128203953
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128204960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128211621
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128212368
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128213391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128227956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128264159
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128267278
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128274528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128277083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128291928
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128298560
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128304840
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128310101
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128312396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128313789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128316259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128330738
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128334299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128345674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128348205
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128348890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128350404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128367700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128375425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128377142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128422492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128427178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128429044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128449010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128491307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128494208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128534260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128549008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128555295
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1496128587033
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496128587597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128592085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128606926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128611714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128652515
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1496128657386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128664650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128672191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1496128704480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496128707339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496128712045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496128714908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1496128723519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496128732716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128777839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128780446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128812247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128821512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128842651
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128849236
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128859171
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1496128865845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496128883064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128884778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128910580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128922033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496128927193
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128955119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496128955188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496129034424
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129035874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496129047543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496129048925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496129078834
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129083505
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129086126
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129099585
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129105466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129113205
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129118238
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129139082
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129143528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496129146722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496129181414
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129208141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129210300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129210533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129210779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129210986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129211315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129211629
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496129212022
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129214514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496129215703
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129216529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496129217063
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129218437
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129222151
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496129223235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496129225642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496131926118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496131935577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496131969102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132003654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132007715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496132056149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496132113357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132130890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132133159
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1496132134257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496132137149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496132138350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132140430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132203811
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132211278
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132221191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496132281841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496132285731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496132288130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132290062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132413791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1496132436263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132437834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132472227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132473664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132501590
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132510200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1496132570324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132573044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132599464
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132600680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132607927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132628665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132629623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132653991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496132669237
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132712214
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132726964
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1496132740107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496132745331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496132745510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496132745674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496132745795
