what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1495524435036
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1495524435036
started,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1495524435037
os,sysinfo,,,"macosx",1495524435040
arch,sysinfo,,,"x86_64",1495524435040
ws,sysinfo,,,"cocoa",1495524435040
locale,sysinfo,,,"en_US",1495524435040
processors,sysinfo,,,"2",1495524435040
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1495524435040
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1495524435040
java.specification.name,sysinfo,,,"Java Platform API Specification",1495524435040
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1495524435040
java.specification.version,sysinfo,,,"1.6",1495524435040
java.vendor,sysinfo,,,"Apple Inc.",1495524435040
java.version,sysinfo,,,"1.6.0_65",1495524435040
java.vm.info,sysinfo,,,"mixed mode",1495524435040
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1495524435040
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1495524435040
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1495524435040
java.vm.specification.version,sysinfo,,,"1.0",1495524435040
java.vm.vendor,sysinfo,,,"Apple Inc.",1495524435040
java.vm.version,sysinfo,,,"20.65-b04-468",1495524435040
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1495524435221
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1495524435403
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1495524435471
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495524438230
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1495524438279
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495524448731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524453199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524623066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524625587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524894213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524896438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524943867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495524949950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495525015107
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495525054360
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495525062108
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495525062245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495525081438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495525483185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495525484964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528152779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528169330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528185904
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495528187219
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495528192719
error,log,,,"Unhandled event loop exception",1495528196969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528207307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528268078
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495528269849
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495528270043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1495528272581
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1495528273266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495528274558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495528288720
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495528290963
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1495528336480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495528348275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528355238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528356855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528357566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495528378378
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495528379227
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1495528380611
